TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TIPO_OBRA_VIVIENDAS#es,TIPO_OBRA_VIVIENDAS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Haría,35010,2013,2013,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,2,,,,
Haría,35010,2014,2014,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,0,,,,
Haría,35010,2015,2015,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,4,,,,
Haría,35010,2016,2016,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,2,,,,
Haría,35010,2017,2017,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,11,,,,
Haría,35010,2018,2018,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,8,,,,
Haría,35010,2019,2019,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,8,,,,
Haría,35010,2012,2012,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,9,,,,
Haría,35010,2013,2013,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,2,,,,
Haría,35010,2014,2014,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,0,,,,
Haría,35010,2015,2015,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,4,,,,
Haría,35010,2016,2016,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,3,,,,
Haría,35010,2017,2017,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,7,,,,
Haría,35010,2018,2018,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,6,,,,
Haría,35010,2019,2019,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,6,,,,
San Bartolomé,35018,2012,2012,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2013,2013,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2014,2014,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2015,2015,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2016,2016,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2017,2017,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2018,2018,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2019,2019,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
San Bartolomé,35018,2012,2012,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2013,2013,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
San Bartolomé,35018,2014,2014,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2015,2015,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2016,2016,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2017,2017,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2018,2018,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2019,2019,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
San Bartolomé,35018,2012,2012,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,4,,,,
San Bartolomé,35018,2013,2013,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,3,,,,
San Bartolomé,35018,2014,2014,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,1,,,,
San Bartolomé,35018,2015,2015,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,4,,,,
San Bartolomé,35018,2016,2016,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,6,,,,
San Bartolomé,35018,2017,2017,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,8,,,,
San Bartolomé,35018,2018,2018,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,10,,,,
San Bartolomé,35018,2019,2019,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,13,,,,
San Bartolomé,35018,2012,2012,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,4,,,,
San Bartolomé,35018,2013,2013,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,2,,,,
San Bartolomé,35018,2014,2014,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,1,,,,
San Bartolomé,35018,2015,2015,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,4,,,,
San Bartolomé,35018,2016,2016,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,6,,,,
San Bartolomé,35018,2017,2017,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,8,,,,
San Bartolomé,35018,2018,2018,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,10,,,,
San Bartolomé,35018,2019,2019,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,14,,,,
Teguise,35024,2012,2012,Demolición,DEMOLICION,Viviendas,VIVIENDAS,4,,,,
Teguise,35024,2013,2013,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Teguise,35024,2014,2014,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Teguise,35024,2015,2015,Demolición,DEMOLICION,Viviendas,VIVIENDAS,2,,,,
Teguise,35024,2016,2016,Demolición,DEMOLICION,Viviendas,VIVIENDAS,2,,,,
Teguise,35024,2017,2017,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
