codigo_municipio,anio,num_viviendas,num_empresas,isla,municipio,poblacion_total,edad_media,pct_extranjeros,pct_mayores_65,indice_dependencia,superficie_km2,poblacion_0_14,poblacion_15_64,poblacion_65_mas,poblacion_activa_total,asalariados_total,salario_medio_total,poblacion_activa_hombres,poblacion_activa_mujeres,asalariados_hombres,asalariados_mujeres
38006,2014,8.0,10973.0,6,39,82982.0,41.6905,38.0444,13.8391,36.4319,8159.85,10675.0,60823.0,11484.0,43232,31827,83.07,22341,20891,16336,15491
38006,2015,100.0,5546.0,6,39,82982.0,41.6905,38.0444,13.8391,36.4319,8159.85,10675.0,60823.0,11484.0,43232,31827,83.07,22341,20891,16336,15491
38007,2012,2.0,152.0,4,40,1897.0,49.6423,5.5878,28.0443,59.9494,4349.52,179.0,1186.0,532.0,932,621,79.81,503,429,311,310
38007,2013,2.0,131.0,4,40,1897.0,49.6423,5.5878,28.0443,59.9494,4349.52,179.0,1186.0,532.0,932,621,79.81,503,429,311,310
38007,2014,0.0,127.0,4,40,1897.0,49.6423,5.5878,28.0443,59.9494,4349.52,179.0,1186.0,532.0,932,621,79.81,503,429,311,310
38007,2015,0.0,66.0,4,40,1897.0,49.6423,5.5878,28.0443,59.9494,4349.52,179.0,1186.0,532.0,932,621,79.81,503,429,311,310
38008,2012,30.0,586.0,4,41,7199.0,44.6916,6.4314,18.7248,44.5873,3089.34,872.0,4979.0,1348.0,3781,2775,85.49,1902,1879,1380,1394
38008,2013,12.0,612.0,4,41,7199.0,44.6916,6.4314,18.7248,44.5873,3089.34,872.0,4979.0,1348.0,3781,2775,85.49,1902,1879,1380,1394
38008,2014,12.0,608.0,4,41,7199.0,44.6916,6.4314,18.7248,44.5873,3089.34,872.0,4979.0,1348.0,3781,2775,85.49,1902,1879,1380,1394
38008,2015,10.0,308.0,4,41,7199.0,44.6916,6.4314,18.7248,44.5873,3089.34,872.0,4979.0,1348.0,3781,2775,85.49,1902,1879,1380,1394
38009,2012,6.0,554.0,4,42,5885.0,44.2692,9.8726,17.5871,44.0636,1415.88,765.0,4085.0,1035.0,3065,2287,85.74,1562,1503,1150,1137
38009,2013,12.0,537.0,4,42,5885.0,44.2692,9.8726,17.5871,44.0636,1415.88,765.0,4085.0,1035.0,3065,2287,85.74,1562,1503,1150,1137
38009,2014,6.0,527.0,4,42,5885.0,44.2692,9.8726,17.5871,44.0636,1415.88,765.0,4085.0,1035.0,3065,2287,85.74,1562,1503,1150,1137
38009,2015,2.0,260.0,4,42,5885.0,44.2692,9.8726,17.5871,44.0636,1415.88,765.0,4085.0,1035.0,3065,2287,85.74,1562,1503,1150,1137
38010,2012,10.0,310.0,6,43,4753.0,48.196,6.417,25.7311,55.632,6636.41,476.0,3054.0,1223.0,2147,1475,82.45,1121,1026,781,694
38010,2013,2.0,333.0,6,43,4753.0,48.196,6.417,25.7311,55.632,6636.41,476.0,3054.0,1223.0,2147,1475,82.45,1121,1026,781,694
38010,2014,2.0,324.0,6,43,4753.0,48.196,6.417,25.7311,55.632,6636.41,476.0,3054.0,1223.0,2147,1475,82.45,1121,1026,781,694
38010,2015,0.0,168.0,6,43,4753.0,48.196,6.417,25.7311,55.632,6636.41,476.0,3054.0,1223.0,2147,1475,82.45,1121,1026,781,694
38011,2012,24.0,1988.0,6,44,28485.0,43.3182,6.9159,17.0932,43.6098,4948.05,3781.0,19835.0,4869.0,14418,10858,86.46,7053,7365,5300,5558
38011,2013,12.0,2011.0,6,44,28485.0,43.3182,6.9159,17.0932,43.6098,4948.05,3781.0,19835.0,4869.0,14418,10858,86.46,7053,7365,5300,5558
38011,2014,22.0,2107.0,6,44,28485.0,43.3182,6.9159,17.0932,43.6098,4948.05,3781.0,19835.0,4869.0,14418,10858,86.46,7053,7365,5300,5558
38011,2015,6.0,1063.0,6,44,28485.0,43.3182,6.9159,17.0932,43.6098,4948.05,3781.0,19835.0,4869.0,14418,10858,86.46,7053,7365,5300,5558
38012,2012,4.0,94.0,6,45,2849.0,47.8931,7.6518,23.4117,48.9284,4524.91,269.0,1913.0,667.0,1480,1067,85.24,832,648,596,471
38012,2013,2.0,99.0,6,45,2849.0,47.8931,7.6518,23.4117,48.9284,4524.91,269.0,1913.0,667.0,1480,1067,85.24,832,648,596,471
38012,2014,0.0,88.0,6,45,2849.0,47.8931,7.6518,23.4117,48.9284,4524.91,269.0,1913.0,667.0,1480,1067,85.24,832,648,596,471
38012,2015,2.0,47.0,6,45,2849.0,47.8931,7.6518,23.4117,48.9284,4524.91,269.0,1913.0,667.0,1480,1067,85.24,832,648,596,471
38014,2012,4.0,158.0,4,46,1800.0,46.9972,13.8889,24.0,52.027,5590.02,184.0,1184.0,432.0,893,622,81.31,471,422,325,297
